"","EvaluatorID","SubjectID","Relationship","ResponseID","StartDate","EndDate","Comm_scale","DM_scale","Dipl_scale","EI_scale","Infl_scale","Cult_scale","TW_scale","Giver_1","Giver_2","Giver_5","Giver_3","Giver_10","Matcher_1","Matcher_2","Matcher_3","Matcher_4","Taker_3","Taker_4","Taker_6","Taker_8","GritPas_22","GritPas_2","GritPas_4","GritPas_23","GritPas_26","GritPas_28","GritPas_27","GritPer_13","GritPer_14","GritPer_18","GritPer_19","GritPer_20","HumRec_13","HumMot_5","HumRec_10","HumMot_13","HumMot_6","HumRec_14","HumRec_12","HumMot_4","HumMot_9","HumRec_9","HumExp_1","HumExp_2","HumExp_3","HumExp_4","HumExp_5","HumExp_6","HumExp_7","HumExp_8","HumExp_9","HumExp_10","Comm_1","Comm_2","Comm_3","Comm_4","Comm_5","Comm_6","Comm_7","Comm_8","Comm_9","Comm_10","Comm_11","Comm_12","Comm_13","Comm_14","Cult_1","Cult_2","Cult_3","Cult_4","Cult_5","Cult_6","Cult_7","Cult_8","Cult_9","Cult_10","Cult_11","Dipl_1","Dipl_2","Dipl_3","Dipl_4","Dipl_5","Dipl_6","Dipl_7","Dipl_8","Dipl_9","Dipl_10","Dipl_11","Dipl_12","EI_1","EI_2","EI_3","EI_4","EI_5","EI_6","EI_7","EI_8","EI_9","EI_10","EI_11","DM_1","DM_2","DM_3","DM_4","DM_5","DM_6","DM_7","DM_8","DM_9","DM_10","DM_11","DM_12","DM_13","DM_14","Infl_1","Infl_2","Infl_3","Infl_4","Infl_5","Infl_6","Infl_7","Infl_8","Infl_9","TW_1","TW_2","TW_3","TW_4","TW_5","TW_6","TW_7","TW_8","TW_9","TW_10","TW_11","TW_12","TW_13","TW_14","TW_15","TW_16","TW_17","TW_18","TW_19","Perf_1","Perf_2","Perf_3","Perf_4","Perf_5","year","class","GritPer_scale","GritPas_scale","Giver_scale","Matcher_scale","Taker_scale","HumMot_scale","HumRec_scale","HumExp_scale","avg_perf","self_dummy","year_2019","year_2020","class_2021","class_2022","n_raters"
"1","P_00c0h5g6FtIJEdT","P_00c0h5g6FtIJEdT","Self","R_1rMwWo6a5GOnULK","9/24/20 15:27","9/24/20 15:59",5.916666667,6.222222222,6.5,6.375,5.857142857,5.75,6.076923077,6,7,6,6,7,2,5,2,1,5,6,4,3,6,6,4,2,2,2,3,7,6,7,7,6,7,7,6,7,7,7,6,6,7,6,7,7,7,6,7,7,6,6,6,3,5,6,7,5,6,6,5,5,NA,NA,7,6,7,6,NA,NA,6,6,NA,6,6,6,5,5,6,NA,NA,NA,NA,6,6,6,7,7,7,6,7,NA,7,6,7,NA,6,NA,7,6,6,6,NA,5,NA,NA,6,NA,NA,6,6,7,6,7,7,6,6,6,NA,6,NA,6,5,6,6,6,NA,7,NA,NA,NA,NA,NA,6,7,4,6,7,6,6,5,6,6,7,80,85,100,90,85,"2020","2022",6.6,3.57142857142857,6.4,2.5,4.5,6.8,6.4,6.2,88,1,0,1,0,1,0
"2","P_00zCkABnbh7rGa9","P_00zCkABnbh7rGa9","Self","R_2XaJS0U211Nosza","9/7/20 14:09","9/17/20 15:56",6.090909091,5.125,5.333333333,5.142857143,5.714285714,4.833333333,5.7,6,3,7,5,5,4,3,6,3,5,3,5,5,2,2,3,1,3,2,2,6,4,3,3,6,6,5,5,6,5,6,7,6,6,4,5,5,5,7,5,6,6,5,6,6,5,5,7,7,7,6,6,5,6,7,6,NA,NA,NA,5,6,5,3,6,4,NA,NA,NA,NA,NA,7,6,6,5,5,3,NA,NA,NA,NA,NA,NA,6,6,3,6,3,7,5,NA,NA,NA,NA,4,6,6,5,5,5,5,5,NA,NA,NA,NA,NA,NA,6,7,6,5,5,6,5,NA,NA,5,6,7,6,3,5,7,7,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,85,80,50,60,"2020","2021",4.4,2.14285714285714,5.2,4,4.5,5.6,5.6,5.6,69,1,0,1,1,0,9
"3","P_1ROeatqZThSIMwR","P_00zCkABnbh7rGa9","Fellow Student","R_CjNjbtYIdzl0Bjj","9/14/20 10:55","9/14/20 11:03",6.090909091,5.75,5,4.714285714,5,5.166666667,5.9,3,4,5,5,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,5,3,4,3,6,4,4,4,4,4,5,4,4,4,4,5,4,5,5,5,4,4,4,4,4,5,5,5,7,6,7,7,7,6,6,6,NA,NA,NA,5,5,5,5,5,6,NA,NA,NA,NA,NA,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,4,5,4,6,4,5,5,NA,NA,NA,NA,7,5,6,4,5,7,5,7,NA,NA,NA,NA,NA,NA,4,4,6,6,6,3,6,NA,NA,5,6,6,7,5,5,7,7,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,71,70,72,72,"2020","2021",4.2,3,4.2,3.75,3.5,4,4.2,4.4,71.2,0,0,1,1,0,9
"4","P_d5VBbF67p38IvR3","P_00zCkABnbh7rGa9","Fellow Student","R_1EaoK6cKA5lFMPZ","9/21/20 11:53","9/28/20 16:45",6.727272727,6.625,7,6,6.285714286,7,6.9,6,5,5,4,7,3,4,6,4,2,4,1,2,6,7,4,2,3,5,4,6,6,7,5,7,4,4,4,4,6,5,5,5,5,5,6,7,6,6,6,5,5,4,4,6,7,7,6,6,7,7,7,6,7,7,7,NA,NA,NA,7,7,7,7,7,7,NA,NA,NA,NA,NA,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,5,7,5,5,7,7,6,NA,NA,NA,NA,7,6,6,7,6,7,7,7,NA,NA,NA,NA,NA,NA,6,6,6,6,7,6,7,NA,NA,7,7,6,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,90,80,100,98,"2020","2021",6.2,4.42857142857143,5.4,4.25,2.25,4.8,4.6,5.5,93.6,0,0,1,1,0,9
"5","P_d6EEdE1ycTpfb1P","P_00zCkABnbh7rGa9","Fellow Student","R_3CQv1qx6MGKz2Xn","9/19/20 10:49","9/19/20 14:57",4.545454545,4.75,4.666666667,4.571428571,4.571428571,4.333333333,4.6,5,3,5,3,3,5,3,6,5,5,6,5,2,3,6,5,1,3,2,4,5,3,5,5,3,2,2,3,3,3,3,5,3,NA,5,3,2,3,6,3,5,5,3,5,5,3,5,2,6,6,5,6,3,5,6,3,NA,NA,NA,5,5,6,3,2,5,NA,NA,NA,NA,NA,5,5,5,5,5,3,NA,NA,NA,NA,NA,NA,5,3,3,5,5,6,5,NA,NA,NA,NA,5,3,5,5,3,6,6,5,NA,NA,NA,NA,NA,NA,5,6,7,3,3,3,5,NA,NA,3,2,5,6,5,6,5,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,85,75,90,90,"2020","2021",4.2,3.42857142857143,3.8,4.75,4.5,2.75,3.6,4,85,0,0,1,1,0,9
"6","P_eUThc8L1gRGV2p7","P_00zCkABnbh7rGa9","Fellow Student","R_07mT9aCVc0mQTGF","9/26/20 15:32","9/26/20 16:29",6.545454545,6.5,6.666666667,6.142857143,6.333333333,6.833333333,6.9,5,6,4,5,6,3,5,2,2,2,5,2,2,4,3,4,3,3,3,3,6,4,6,5,6,4,3,5,6,5,4,6,5,5,4,4,5,6,7,6,6,6,6,6,4,5,6,5,7,7,7,7,7,7,7,7,NA,NA,NA,7,7,7,6,7,7,NA,NA,NA,NA,NA,7,7,7,6,7,6,NA,NA,NA,NA,NA,NA,6,6,6,6,6,7,6,NA,NA,NA,NA,7,6,7,7,6,6,6,7,NA,NA,NA,NA,NA,NA,6,6,7,NA,6,7,6,NA,NA,7,7,6,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,83,90,84,89,"2020","2021",5.4,3.28571428571429,5.2,3,2.75,4.8,4.6,5.6,87.2,0,0,1,1,0,9
"7","P_5bvBw55EODjhRUF","P_00zCkABnbh7rGa9","Fellow Student","R_Wuiacb5USY6smU9","9/7/20 14:11","9/28/20 8:40",6,6,5.5,3.714285714,6.166666667,6,5.5,5,4,3,3,3,3,5,4,5,6,5,3,3,3,5,5,2,2,2,3,3,4,5,5,4,3,4,3,6,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,2,NA,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,5,5,6,5,6,6,NA,NA,NA,NA,NA,NA,4,3,3,3,3,7,3,NA,NA,NA,NA,6,5,6,6,6,6,7,6,NA,NA,NA,NA,NA,NA,6,6,6,NA,7,6,6,NA,NA,6,6,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,33,64,57,58,"2020","2021",4.2,3.14285714285714,3.6,4.25,4.25,4.6,4.2,4.5,56.6,0,0,1,1,0,9
"8","P_8eTLMJ4Secz2y0J","P_00zCkABnbh7rGa9","Fellow Student","R_ZJ1RLMUFbrnolmV","9/28/20 7:50","9/28/20 8:06",5.75,5.625,5.833333333,5.2,5,NA,6.5,6,6,6,4,5,4,4,5,4,2,4,2,4,4,2,4,2,1,1,2,3,2,4,4,4,3,3,4,4,5,6,4,4,3,2,4,4,4,6,5,4,4,5,6,6,NA,6,3,6,6,NA,6,6,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6,7,7,2,NA,NA,NA,NA,NA,NA,NA,5,2,7,6,6,NA,NA,NA,NA,NA,6,4,7,3,5,7,7,6,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,3,NA,NA,NA,5,7,7,7,7,5,7,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,82,93,65,86,"2020","2021",3.4,2.28571428571429,5.4,4.25,3,3.8,3.8,4.8,83.2,0,0,1,1,0,9
"9","P_cU776KxSSAsKjSB","P_00zCkABnbh7rGa9","Fellow Student","R_2s4hXsp4HonOrfO","9/27/20 14:51","9/27/20 15:01",5.6,6.2,6.75,4,5.333333333,NA,6.5,3,4,5,4,4,3,4,2,3,5,4,3,3,6,2,4,4,4,3,6,7,6,6,7,5,5,3,4,4,5,7,7,4,4,6,5,5,5,4,5,4,4,4,4,4,6,6,4,5,7,5,6,5,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,6,7,7,NA,NA,NA,NA,NA,NA,NA,6,4,3,5,4,3,3,NA,NA,NA,NA,NA,NA,7,5,6,7,NA,6,NA,NA,NA,NA,NA,NA,NA,3,6,7,NA,NA,NA,NA,NA,5,7,6,7,6,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,100,86,97,99,"2020","2021",6.2,4.14285714285714,4,3,3.75,4,5.8,4.4,94.4,0,0,1,1,0,9
"10","P_b7XswuyozH8cAUR","P_00zCkABnbh7rGa9","Fellow Student","R_3CJzLG2QulkNa5R","9/28/20 11:44","9/28/20 12:22",5.6,5.666666667,5.25,5.285714286,5.8,4,5.625,4,5,6,6,6,5,6,6,3,2,3,2,2,3,2,4,1,1,1,4,5,2,5,5,5,4,3,5,4,4,5,6,6,3,4,5,5,6,7,5,4,5,5,6,4,4,4,4,5,6,NA,6,7,7,7,6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,4,NA,NA,NA,NA,NA,NA,5,6,3,6,5,7,5,NA,NA,NA,NA,5,NA,6,6,NA,5,6,6,NA,NA,NA,NA,NA,NA,5,6,7,NA,6,5,NA,NA,NA,3,5,6,6,6,NA,7,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,93,100,100,91,"2020","2021",4.4,2.28571428571429,5.4,5,2.25,4,4.8,5.2,94.4,0,0,1,1,0,9
