"","SubjectID","EvaluatorID","Relationship","StartDate","EndDate","GritPas_2","GritPas_4","GritPas_22","GritPas_23","GritPas_26","GritPas_28","GritPas_27","GritPer_13","GritPer_14","GritPer_18","GritPer_19","GritPer_20","HumMot_4","HumMot_5","HumMot_6","HumMot_9","HumMot_13","HumRec_9","HumRec_10","HumRec_12","HumRec_13","HumRec_14","Giver_1","Giver_2","Giver_5","Giver_3","Giver_10","Matcher_1","Matcher_2","Matcher_3","Matcher_4","Taker_3","Taker_4","Taker_6","Taker_8","Perf_1","Perf_2","Perf_3","Perf_4","Perf_5","GritPer_scale","GritPas_scale","HumMot_scale","HumRec_scale","Giver_scale","Matcher_scale","Taker_scale","avg_perf","year","class"
"1","P_00c0h5g6FtIJEdT","P_00c0h5g6FtIJEdT","Self","1600961246","1600963194",6,4,6,2,2,2,3,7,6,7,7,6,6,7,7,7,7,6,6,6,7,7,6,7,6,6,7,2,5,2,1,5,6,4,3,80,85,100,90,85,6.6,3.57142857142857,6.8,6.4,6.4,2.5,4.5,88,"2020","2022"
"2","P_00zCkABnbh7rGa9","P_00zCkABnbh7rGa9","Self","1599487775","1600358212",2,3,2,1,3,2,2,6,4,3,3,6,6,5,5,6,6,4,5,7,6,6,6,3,7,5,5,4,3,6,3,5,3,5,5,70,85,80,50,60,4.4,2.14285714285714,5.6,5.6,5.2,4,4.5,69,"2020","2021"
"3","P_00zCkABnbh7rGa9","P_1ROeatqZThSIMwR","Fellow Student","1600080914","1600081426",3,3,3,3,3,3,3,5,3,4,3,6,4,4,4,4,4,4,4,4,4,5,3,4,5,5,4,4,4,4,3,4,4,3,3,71,71,70,72,72,4.2,3,4,4.2,4.2,3.75,3.5,71.2,"2020","2021"
"4","P_00zCkABnbh7rGa9","P_d5VBbF67p38IvR3","Fellow Student","1600689197","1601311526",7,4,6,2,3,5,4,6,6,7,5,7,5,4,6,5,4,5,4,5,4,5,6,5,5,4,7,3,4,6,4,2,4,1,2,100,90,80,100,98,6.2,4.42857142857143,4.8,4.6,5.4,4.25,2.25,93.6,"2020","2021"
"5","P_00zCkABnbh7rGa9","P_d6EEdE1ycTpfb1P","Fellow Student","1600512565","1600527454",6,5,3,1,3,2,4,5,3,5,5,3,3,2,3,NA,3,5,3,5,2,3,5,3,5,3,3,5,3,6,5,5,6,5,2,85,85,75,90,90,4.2,3.42857142857143,2.75,3.6,3.8,4.75,4.5,85,"2020","2021"
"6","P_00zCkABnbh7rGa9","P_eUThc8L1gRGV2p7","Fellow Student","1601134354","1601137747",3,4,4,3,3,3,3,6,4,6,5,6,5,3,5,5,6,4,5,6,4,4,5,6,4,5,6,3,5,2,2,2,5,2,2,90,83,90,84,89,5.4,3.28571428571429,4.8,4.6,5.2,3,2.75,87.2,"2020","2021"
"7","P_00zCkABnbh7rGa9","P_5bvBw55EODjhRUF","Fellow Student","1599487915","1601282416",5,5,3,2,2,2,3,3,4,5,5,4,5,4,5,3,6,5,3,5,3,5,5,4,3,3,3,3,5,4,5,6,5,3,3,71,33,64,57,58,4.2,3.14285714285714,4.6,4.2,3.6,4.25,4.25,56.6,"2020","2021"
"8","P_00zCkABnbh7rGa9","P_8eTLMJ4Secz2y0J","Fellow Student","1601279412","1601280363",2,4,4,2,1,1,2,3,2,4,4,4,4,3,5,3,4,2,4,4,3,6,6,6,6,4,5,4,4,5,4,2,4,2,4,90,82,93,65,86,3.4,2.28571428571429,3.8,3.8,5.4,4.25,3,83.2,"2020","2021"
"9","P_00zCkABnbh7rGa9","P_cU776KxSSAsKjSB","Fellow Student","1601218294","1601218869",2,4,6,4,4,3,6,7,6,6,7,5,4,3,5,4,4,6,4,7,5,7,3,4,5,4,4,3,4,2,3,5,4,3,3,90,100,86,97,99,6.2,4.14285714285714,4,5.8,4,3,3.75,94.4,"2020","2021"
"10","P_00zCkABnbh7rGa9","P_b7XswuyozH8cAUR","Fellow Student","1601293469","1601295778",2,4,3,1,1,1,4,5,2,5,5,5,6,3,4,3,4,4,5,6,4,5,4,5,6,6,6,5,6,6,3,2,3,2,2,88,93,100,100,91,4.4,2.28571428571429,4,4.8,5.4,5,2.25,94.4,"2020","2021"
"11","P_00zCkABnbh7rGa9","P_2ta0nuwzdoQlREp","Fellow Student","1599988473","1600031608",3,5,6,3,3,2,3,6,5,6,6,5,7,5,6,6,5,4,4,6,4,3,5,4,6,3,6,6,5,4,3,3,3,3,1,92,80,90,79,82,5.6,3.57142857142857,5.8,4.2,4.8,4.5,2.5,84.6,"2020","2021"
"12","P_01zaOWTdoLgqtmZ","P_01zaOWTdoLgqtmZ","Self","1600940063","1600940544",5,4,6,2,6,3,4,7,5,3,7,5,7,7,7,7,5,5,7,7,5,7,7,7,7,6,3,5,7,6,2,5,3,5,3,95,95,85,95,95,5.4,4.28571428571429,6.6,6.2,6,5,4,93,"2020","2021"
"13","P_01zaOWTdoLgqtmZ","P_80KOWwB6gb3b6OF","Fellow Student","1601385028","1601386709",4,6,6,4,5,4,5,5,5,6,6,5,5,6,5,5,6,6,4,6,6,5,5,5,6,5,4,4,5,6,6,4,3,4,3,95,85,80,90,90,5.4,4.85714285714286,5.4,5.4,5,5.25,3.5,88,"2020","2021"
"14","P_01zaOWTdoLgqtmZ","P_0ewj3DDrOMN3z1j","Fellow Student","1601390956","1601393268",4,6,5,3,5,3,5,7,6,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,2,4,5,2,3,3,4,2,92,92,85,85,95,6,4.42857142857143,5.6,6,6,3.25,3,89.8,"2020","2021"
"15","P_01zaOWTdoLgqtmZ","P_6ssgCNCYkvGGUiF","Fellow Student","1600768011","1600773237",2,6,5,3,3,3,4,5,3,5,5,5,6,5,5,5,5,5,5,4,4,6,6,6,5,5,5,4,4,4,3,5,3,4,3,60,60,80,60,70,4.6,3.71428571428571,5.2,4.8,5.4,3.75,3.75,66,"2020","2021"
"16","P_01zaOWTdoLgqtmZ","P_9v4a6MZ2T6kuZ2l","Fellow Student","1601858505","1601858756",2,2,6,4,6,4,2,6,4,4,5,4,4,4,6,5,4,3,4,6,4,5,4,4,4,5,4,3,6,7,2,4,4,5,2,80,80,72,83,84,4.6,3.71428571428571,4.6,4.4,4.2,4.5,3.75,79.8,"2020","2021"
"17","P_01zaOWTdoLgqtmZ","P_9QRZRVowZUz3m0B","Fellow Student","1601655145","1601656017",4,6,5,2,3,2,4,6,5,5,5,5,6,6,6,5,7,1,5,5,5,5,5,5,5,5,3,2,6,6,3,2,2,2,2,65,40,80,60,70,5.2,3.71428571428571,6,4.2,4.6,4.25,2,63,"2020","2021"
"18","P_01zaOWTdoLgqtmZ","P_5q0eFkZFWvfmrRP","Fellow Student","1600852747","1600854140",4,4,6,5,3,2,6,5,5,5,6,5,5,6,6,7,6,7,5,6,6,5,5,5,6,5,5,3,5,4,2,3,3,2,3,72,54,60,74,68,5.2,4.28571428571429,6,5.8,5.2,3.5,2.75,65.6,"2020","2021"
"19","P_02jQyPR45vjlGKx","P_02jQyPR45vjlGKx","Self","1601329871","1601330470",3,3,3,3,5,2,5,7,5,5,5,4,6,3,4,7,5,5,3,4,5,5,6,5,5,4,4,3,6,3,2,3,4,5,4,85,80,85,80,80,5.2,3.42857142857143,5,4.4,4.8,3.5,4,82,"2020","2021"
"20","P_02jQyPR45vjlGKx","P_8HrvFKQY2RykH3f","Learning Teammate","1600406835","1600407841",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,90,90,90,90,90,6,6,6,6,6,6,6,90,"2020","2021"
"21","P_02jQyPR45vjlGKx","P_cI0dNhk7matuwUB","Learning Teammate","1600872614","1600873781",4,6,6,4,4,4,7,6,3,6,7,4,6,6,7,6,6,7,6,6,4,6,7,5,6,6,6,2,4,6,6,4,5,2,3,82,61,89,72,79,5.2,5,6.2,5.8,6,4.5,3.5,76.6,"2020","2021"
"22","P_02jQyPR45vjlGKx","P_9GfFFkO4uYabqO9","Learning Teammate","1601320827","1601322938",4,4,5,3,3,5,5,7,5,4,7,5,6,4,6,7,5,5,4,7,5,5,4,3,4,4,4,4,4,4,4,4,4,5,4,90,90,71,95,95,5.6,4.14285714285714,5.6,5.2,3.8,4,4.25,88.2,"2020","2021"
"23","P_02jQyPR45vjlGKx","P_9NeR4eSRpPSQa2h","Fellow Student","1600628297","1600630056",4,4,4,4,4,4,4,6,4,6,4,6,4,5,4,4,4,4,4,5,4,5,6,4,4,5,4,2,4,4,2,4,4,3,2,70,60,70,70,60,5.2,4,4.2,4.4,4.6,3,3.25,66,"2020","2021"
"24","P_02jQyPR45vjlGKx","P_eVZH2KY7urMJoGh","Fellow Student","1601327371","1601328125",5,4,5,3,4,3,4,6,5,5,5,5,5,5,6,5,6,5,5,5,5,6,6,6,6,6,5,3,6,5,2,3,3,2,3,71,56,93,66,75,5.2,4,5.4,5.2,5.8,4,2.75,72.2,"2020","2021"
"25","P_02jQyPR45vjlGKx","P_86PUKheUerMTPYV","Peer","1600267644","1600872431",6,4,6,2,6,3,5,7,5,6,6,4,5,5,6,5,5,6,4,5,5,6,6,5,5,4,6,1,4,4,1,4,4,3,2,91,91,86,96,90,5.6,4.57142857142857,5.2,5.2,5.2,2.5,3.25,90.8,"2020","2021"
"26","P_02jQyPR45vjlGKx","P_9QPq664cNJxuYGp","Manager","1600670340","1600671703",5,7,7,3,5,2,6,7,5,7,7,7,7,6,7,7,7,3,4,7,3,6,7,6,6,6,7,2,6,4,2,3,5,3,5,100,90,90,100,100,6.6,5,6.8,4.6,6.4,3.5,4,96,"2020","2021"
"27","P_02jQyPR45vjlGKx","P_3vBYqxuY08EFt9r","Manager","1600325313","1601240926",6,7,7,1,5,4,7,7,4,7,6,7,6,4,7,6,6,4,4,6,6,5,7,7,6,5,4,2,4,2,4,4,4,1,1,99,99,99,99,99,6.2,5.28571428571429,5.8,5,5.8,3,2.5,99,"2020","2021"
"28","P_02qTEGP1PX2qXIN","P_02qTEGP1PX2qXIN","Self","1601116708","1601118359",3,3,5,1,3,2,4,6,5,6,5,4,6,5,5,5,5,5,6,5,6,5,6,5,6,6,4,3,5,3,2,2,3,2,4,71,36,71,68,60,5.2,3,5.2,5.4,5.4,3.25,2.75,61.2,"2020","2022"
"29","P_02qTEGP1PX2qXIN","P_6zkpR7u6u7d7uGp","Learning Teammate","1601238906","1601241944",4,4,5,2,3,2,5,6,4,6,5,4,5,5,5,4,6,5,5,5,4,5,6,4,5,6,5,2,5,2,2,3,3,2,2,77,77,88,80,86,5,3.57142857142857,5,4.8,5.2,2.75,2.5,81.6,"2020","2022"
"30","P_02qTEGP1PX2qXIN","P_8k7X6zIKrzHWXMF","Learning Teammate","1600079706","1601308106",4,4,5,2,4,4,4,7,5,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,7,6,1,7,1,1,3,4,2,1,80,80,80,80,80,6,3.85714285714286,5.8,5.8,6.2,2.5,2.5,80,"2020","2022"
